job_id,company_id,job_title,experience_level,employment_type,salary_range_usd,posted_date
1,1,Data Analyst,Mid,Full-time,92860-109598,2025-08-20
2,2,Computer Vision Engineer,Senior,Full-time,78523-144875,2024-03-22
3,3,Quant Researcher,Entry,Full-time,124496-217204,2025-09-18
4,4,AI Product Manager,Mid,Full-time,50908-123743,2024-05-08
5,5,Data Scientist,Senior,Contract,98694-135413,2025-02-24
6,6,AI Product Manager,Senior,Remote,92632-180718,2025-08-07
7,7,Data Analyst,Mid,Full-time,70575-88594,2024-12-23
8,8,Data Scientist,Entry,Internship,63032-82144,2024-08-14
9,9,ML Engineer,Entry,Internship,134239-188504,2025-09-15
10,10,Computer Vision Engineer,Senior,Full-time,79361-165029,2025-08-07
11,11,Data Scientist,Entry,Internship,99964-125971,2024-01-10
12,12,ML Engineer,Entry,Full-time,63583-132670,2024-03-15
13,13,NLP Engineer,Entry,Full-time,102770-117026,2023-09-27
14,14,Quant Researcher,Senior,Full-time,137004-193975,2024-11-20
15,15,NLP Engineer,Mid,Remote,129842-216741,2024-07-08
16,16,NLP Engineer,Senior,Remote,124669-217866,2024-04-06
17,17,ML Engineer,Entry,Full-time,137523-180097,2025-05-14
18,18,AI Product Manager,Entry,Internship,138184-192857,2024-04-29
19,19,Data Scientist,Senior,Remote,100845-159745,2024-10-19
20,20,ML Engineer,Mid,Internship,115578-207180,2024-08-29
21,21,Quant Researcher,Entry,Remote,122521-175168,2024-01-19
22,22,Quant Researcher,Entry,Full-time,62483-105216,2023-12-28
23,23,NLP Engineer,Mid,Remote,74317-148899,2024-11-25
24,24,NLP Engineer,Senior,Internship,68115-125323,2023-12-06
25,25,NLP Engineer,Mid,Internship,89840-109693,2025-06-13
26,26,NLP Engineer,Mid,Remote,107786-126713,2024-12-20
27,27,Quant Researcher,Senior,Internship,44309-77284,2025-01-02
28,28,Data Analyst,Entry,Contract,124616-172767,2025-02-28
29,29,Data Analyst,Mid,Internship,142616-216391,2025-01-31
30,30,Data Analyst,Entry,Contract,70932-161568,2024-06-07
31,31,Quant Researcher,Senior,Full-time,54565-94461,2024-06-27
32,32,Data Scientist,Entry,Full-time,112660-179478,2023-09-22
33,33,AI Product Manager,Mid,Contract,55330-104941,2024-09-30
34,34,NLP Engineer,Senior,Internship,110439-183071,2023-11-25
35,35,Computer Vision Engineer,Entry,Contract,97714-134140,2024-04-01
36,36,Computer Vision Engineer,Mid,Remote,87250-156869,2023-12-25
37,37,AI Researcher,Entry,Contract,77074-163272,2024-11-16
38,38,ML Engineer,Mid,Remote,116061-159814,2025-05-14
39,39,Data Scientist,Senior,Internship,87411-136106,2024-06-10
40,40,Data Analyst,Entry,Internship,88562-159008,2025-06-27
41,41,Quant Researcher,Senior,Remote,41935-95608,2025-02-08
42,42,NLP Engineer,Mid,Full-time,126443-145937,2023-11-10
43,43,AI Product Manager,Entry,Full-time,99978-189975,2024-09-05
44,44,Quant Researcher,Entry,Contract,65214-151832,2025-03-11
45,45,Quant Researcher,Mid,Internship,71101-158421,2025-03-16
46,46,ML Engineer,Entry,Internship,119200-129563,2025-02-14
47,47,Data Scientist,Mid,Contract,122083-203812,2024-08-04
48,48,Computer Vision Engineer,Entry,Contract,144773-159408,2025-02-21
49,49,NLP Engineer,Entry,Remote,78317-161397,2024-03-19
50,50,NLP Engineer,Mid,Full-time,75575-120477,2024-05-07
51,51,AI Product Manager,Entry,Full-time,133185-231638,2023-09-27
52,52,Computer Vision Engineer,Entry,Contract,73140-164506,2025-05-30
53,53,Data Scientist,Mid,Contract,69031-115150,2025-05-17
54,54,Quant Researcher,Mid,Full-time,49382-141727,2024-11-09
55,55,Quant Researcher,Senior,Full-time,135916-233596,2024-11-10
56,56,ML Engineer,Senior,Remote,149271-215582,2025-04-23
57,57,Data Analyst,Entry,Internship,56348-123497,2023-11-16
58,58,ML Engineer,Senior,Full-time,69159-139847,2025-02-11
59,59,AI Researcher,Senior,Remote,78305-162525,2025-06-21
60,60,AI Product Manager,Mid,Internship,64238-115477,2023-09-25
61,61,Data Analyst,Senior,Remote,53583-148644,2024-06-27
62,62,AI Product Manager,Entry,Remote,50457-126635,2024-05-08
63,63,Computer Vision Engineer,Mid,Internship,97883-172449,2024-10-26
64,64,AI Product Manager,Entry,Remote,94965-141198,2025-02-17
65,65,AI Researcher,Entry,Internship,81202-154117,2025-01-06
66,66,AI Researcher,Mid,Contract,106117-199125,2023-12-19
67,67,AI Product Manager,Senior,Internship,137229-193525,2024-04-08
68,68,Data Analyst,Senior,Remote,40995-54162,2024-12-21
69,69,Data Analyst,Mid,Full-time,129140-193460,2023-12-09
70,70,Data Analyst,Mid,Full-time,86690-120765,2025-06-15
71,71,ML Engineer,Entry,Internship,85816-149983,2025-03-12
72,72,Quant Researcher,Senior,Remote,60805-99890,2024-02-12
73,73,Data Analyst,Senior,Remote,118377-137651,2025-05-02
74,74,NLP Engineer,Mid,Internship,81382-175328,2023-11-28
75,75,ML Engineer,Senior,Remote,132555-209536,2025-09-09
76,76,AI Researcher,Mid,Contract,54185-86768,2023-12-06
77,77,AI Researcher,Mid,Internship,101020-182230,2025-07-03
78,78,NLP Engineer,Mid,Internship,49529-68621,2024-02-21
79,79,Quant Researcher,Entry,Contract,88756-103530,2024-10-12
80,80,ML Engineer,Senior,Internship,108574-194850,2025-01-20
81,81,AI Researcher,Mid,Internship,111184-166588,2025-08-03
82,82,Data Analyst,Entry,Full-time,120456-210505,2024-01-14
83,83,AI Product Manager,Entry,Internship,86740-124608,2025-09-17
84,84,Data Analyst,Entry,Full-time,78116-122008,2025-04-25
85,85,Computer Vision Engineer,Mid,Contract,42962-75277,2024-11-01
86,86,Data Analyst,Senior,Full-time,51640-64834,2024-03-21
87,87,Quant Researcher,Mid,Contract,98118-167073,2024-09-10
88,88,Quant Researcher,Mid,Internship,140819-222611,2023-11-16
89,89,AI Researcher,Entry,Internship,82496-127505,2025-03-23
90,90,AI Researcher,Entry,Internship,124249-174855,2023-10-17
91,91,NLP Engineer,Mid,Contract,81426-145890,2023-10-19
92,92,Data Scientist,Entry,Internship,51104-130405,2025-03-21
93,93,NLP Engineer,Entry,Remote,143177-155682,2025-08-26
94,94,NLP Engineer,Mid,Remote,139393-162837,2025-07-13
95,95,ML Engineer,Entry,Full-time,111746-137892,2024-10-10
96,96,Computer Vision Engineer,Senior,Full-time,107083-124486,2025-08-09
97,97,AI Researcher,Senior,Full-time,126865-190621,2024-11-15
98,98,Computer Vision Engineer,Mid,Contract,127896-227744,2023-12-18
99,99,Data Analyst,Entry,Contract,133789-170501,2024-05-22
100,100,Computer Vision Engineer,Mid,Contract,126422-179630,2025-09-03
101,101,ML Engineer,Entry,Contract,53156-131761,2025-07-22
102,102,Data Scientist,Senior,Internship,76985-169306,2025-08-09
103,103,Quant Researcher,Entry,Full-time,129308-160166,2025-02-26
104,104,Data Scientist,Senior,Internship,112263-190554,2025-03-21
105,105,NLP Engineer,Entry,Contract,147332-158887,2024-11-19
106,106,Computer Vision Engineer,Mid,Full-time,54559-121736,2025-04-04
107,107,Computer Vision Engineer,Senior,Remote,91427-154726,2023-10-03
108,108,AI Product Manager,Senior,Contract,120983-167455,2025-03-30
109,109,ML Engineer,Mid,Contract,108083-168433,2024-02-06
110,110,Quant Researcher,Mid,Contract,43248-86711,2024-06-20
111,111,AI Researcher,Entry,Remote,73459-87186,2024-09-08
112,112,AI Researcher,Mid,Contract,94345-157493,2024-07-24
113,113,NLP Engineer,Mid,Full-time,113621-179602,2024-08-28
114,114,Data Scientist,Entry,Full-time,43828-137950,2025-05-20
115,115,Quant Researcher,Senior,Remote,118046-186961,2025-06-17
116,116,NLP Engineer,Entry,Full-time,143236-210339,2024-03-17
117,117,Data Analyst,Entry,Contract,70478-154317,2025-05-07
118,118,Data Analyst,Mid,Internship,69403-123368,2024-04-05
119,119,NLP Engineer,Mid,Contract,143437-196807,2024-01-01
120,120,NLP Engineer,Entry,Contract,59290-84926,2025-08-10
121,121,AI Researcher,Mid,Remote,124112-141184,2024-10-08
122,122,AI Researcher,Entry,Contract,93411-137526,2024-07-10
123,123,Computer Vision Engineer,Senior,Contract,98592-132404,2024-10-08
124,124,Quant Researcher,Mid,Internship,109693-136678,2023-10-31
125,125,NLP Engineer,Mid,Full-time,128381-173902,2025-08-03
126,126,Computer Vision Engineer,Mid,Remote,114132-129565,2025-04-07
127,127,Quant Researcher,Mid,Contract,117985-188287,2024-03-10
128,128,AI Product Manager,Entry,Remote,98649-172840,2024-11-22
129,129,NLP Engineer,Mid,Remote,132259-223631,2024-12-31
130,130,Data Analyst,Senior,Internship,92116-122876,2025-03-11
131,131,NLP Engineer,Entry,Internship,111421-135658,2024-09-23
132,132,NLP Engineer,Mid,Remote,64185-77841,2025-02-09
133,133,AI Researcher,Senior,Contract,114287-213324,2025-04-23
134,134,AI Researcher,Senior,Internship,67967-136114,2025-09-01
135,135,Data Analyst,Entry,Full-time,119699-195649,2024-02-29
136,136,NLP Engineer,Senior,Remote,105893-197119,2024-12-30
137,137,Computer Vision Engineer,Mid,Full-time,144509-185639,2024-09-02
138,138,AI Product Manager,Senior,Contract,125979-196585,2024-03-05
139,139,AI Product Manager,Mid,Full-time,96804-161412,2024-01-14
140,140,Data Analyst,Senior,Contract,145387-192153,2025-08-26
141,141,Quant Researcher,Entry,Contract,44646-126597,2025-06-07
142,142,ML Engineer,Mid,Remote,61799-124735,2024-05-14
143,143,AI Product Manager,Entry,Remote,142495-193478,2025-04-04
144,144,Data Scientist,Mid,Contract,52111-123116,2024-01-05
145,145,Data Analyst,Entry,Contract,68548-93154,2024-07-30
146,146,ML Engineer,Entry,Contract,82795-123262,2025-03-10
147,147,AI Researcher,Entry,Internship,94239-122634,2025-08-17
148,148,NLP Engineer,Mid,Remote,64790-95818,2023-12-19
149,149,Data Analyst,Senior,Remote,133389-145372,2025-09-17
150,150,Computer Vision Engineer,Senior,Internship,112241-126511,2024-12-28
151,151,AI Researcher,Mid,Remote,66955-108050,2024-03-08
