company_id,company_name,industry,company_size,location
1,Foster and Sons,Healthcare,Large,"Tracybury, AR"
2,"Boyd, Myers and Ramirez",Tech,Large,"Lake Scott, CU"
3,King Inc,Tech,Large,"East Paige, CM"
4,"Cooper, Archer and Lynch",Tech,Large,"Perezview, FI"
5,Hall LLC,Finance,Large,"North Desireeland, NE"
6,Ellis PLC,E-commerce,Large,"South Kevin, TZ"
7,Matthews-Moses,Automotive,Large,"West Shawn, LR"
8,Mullins Ltd,Education,Large,"Port Hailey, RU"
9,Aguilar PLC,Healthcare,Large,"Butlermouth, GB"
10,Parks LLC,Automotive,Large,"Nicoleshire, BA"
11,Vaughan-Ortiz,Tech,Large,"New Angelatown, LU"
12,"Johnson, Guzman and Hernandez",Finance,Large,"Joychester, LT"
13,Martin and Sons,E-commerce,Startup,"South Michael, FM"
14,Frank-Duarte,Retail,Mid,"Christianberg, GQ"
15,Rogers Ltd,Education,Large,"New Katieborough, FJ"
16,Wright-Evans,Automotive,Startup,"Stephaniechester, LU"
17,Preston Ltd,E-commerce,Mid,"South Tim, CZ"
18,Smith-Moore,Automotive,Startup,"Blevinsburgh, VU"
19,Webb and Sons,Healthcare,Mid,"Parkmouth, CA"
20,Gates LLC,E-commerce,Large,"Stevenhaven, BW"
21,"Whitaker, Walker and Sandoval",Retail,Large,"Gregorymouth, LV"
22,Humphrey LLC,Retail,Large,"Lake Alexander, RU"
23,"Adams, Stevenson and Wagner",E-commerce,Startup,"North Nicholas, SN"
24,"Thomas, Hurst and Becker",Tech,Mid,"Leeton, MW"
25,Sherman-Nguyen,Healthcare,Mid,"Suzanneview, TW"
26,Johnson-Keller,Finance,Mid,"Whitestad, BB"
27,Le PLC,Education,Large,"Taraburgh, DZ"
28,"Abbott, Nielsen and Young",Healthcare,Startup,"New Richard, TD"
29,Thomas-Ruiz,Finance,Startup,"South Donaldton, GE"
30,"Good, Ware and Cruz",Finance,Startup,"North Michael, TT"
31,Gay PLC,Tech,Startup,"Port Patriciaport, TG"
32,Kirby-Zuniga,Healthcare,Mid,"Danielchester, ID"
33,"Castillo, Campbell and Robinson",Tech,Startup,"Alexandriaburgh, KN"
34,Carter LLC,Finance,Startup,"West Charles, TT"
35,Hall Group,Automotive,Large,"North Denise, MC"
36,Huynh PLC,Finance,Startup,"Kirbyside, LT"
37,"Smith, Haas and Mendez",Retail,Mid,"Lake John, AU"
38,"Briggs, Shaw and Berry",E-commerce,Startup,"East Ashleyland, PL"
39,Boyd PLC,Retail,Mid,"Port Misty, NL"
40,"Sanders, Mejia and Townsend",Automotive,Mid,"Deleonchester, HN"
41,Hernandez Inc,E-commerce,Mid,"Nicoleport, BF"
42,"Parrish, White and Grant",E-commerce,Startup,"Kimside, BW"
43,"Carroll, Lucero and Lambert",Healthcare,Large,"Simsside, TD"
44,"Thomas, Waller and Kelly",Education,Large,"South Jeremiah, MX"
45,"Franklin, Wright and Berg",Automotive,Mid,"Ramirezmouth, PK"
46,"Coleman, Gray and Roach",Healthcare,Startup,"New Rachelmouth, IT"
47,Mooney-Decker,Finance,Startup,"Jennyland, TR"
48,Wood LLC,Automotive,Mid,"Port Johnville, MA"
49,Copeland Group,Education,Mid,"North Josephshire, YE"
50,Richards PLC,Finance,Large,"Lewismouth, TD"
51,"Melendez, Williams and Williamson",E-commerce,Large,"Steinside, IT"
52,"Ellis, Crane and Boyle",E-commerce,Mid,"North Jason, MR"
53,Foley-Moore,Finance,Large,"Thomasfort, KG"
54,Wright and Sons,Tech,Large,"Chavezstad, TG"
55,Williams-Vargas,Healthcare,Startup,"Carlland, ME"
56,Hill-Huff,Tech,Startup,"Jessicamouth, PT"
57,Meyer PLC,Education,Mid,"Caitlynmouth, MR"
58,Boyd-Carlson,Retail,Large,"Villarrealhaven, KI"
59,Scott-Gardner,Tech,Large,"North Laurie, BI"
60,Jackson Group,Finance,Startup,"East Juliashire, TR"
61,"Sullivan, Silva and Sawyer",Finance,Mid,"North Jonathan, NL"
62,"Page, Bonilla and Cohen",Retail,Startup,"Port Jacobchester, SB"
63,Young-Wright,Retail,Large,"Kaylaburgh, NO"
64,Patel PLC,E-commerce,Startup,"South Jamie, KM"
65,"Lopez, Nelson and Meyer",E-commerce,Startup,"Lake Michelleport, RS"
66,"Harris, Porter and Walter",Retail,Large,"Port Kristenmouth, SA"
67,Dominguez and Sons,Automotive,Large,"Rodriguezstad, ET"
68,Griffith-Garner,Retail,Startup,"Meredithview, LS"
69,Smith LLC,Healthcare,Mid,"South Tylerhaven, LC"
70,Smith-Jones,Education,Mid,"South Karenville, BB"
71,"Maddox, Steele and Jones",Retail,Mid,"Billyfort, YE"
72,Williams PLC,Healthcare,Startup,"New Jefferyfort, TG"
73,"Hurst, Manning and Wood",Education,Large,"Petersenborough, VN"
74,"Howard, Carr and Joseph",Automotive,Large,"Leeberg, ME"
75,Lewis-Smith,Automotive,Startup,"North Christopherfurt, LR"
76,Luna and Sons,Automotive,Mid,"Weberland, TL"
77,King-Sheppard,E-commerce,Startup,"Zamorafurt, UA"
78,Meyer-Shaffer,E-commerce,Startup,"Sharpborough, DM"
79,"Ellis, Page and Smith",Tech,Startup,"North Carriestad, IR"
80,Martinez-Fitzgerald,Healthcare,Large,"South Charles, CI"
81,Johnson Inc,Education,Large,"Lake Kristen, AZ"
82,Camacho PLC,Finance,Large,"Anthonyland, GQ"
83,Sweeney-Griffith,Finance,Mid,"Michaelchester, MK"
84,"Stafford, Owens and Thompson",Education,Mid,"Lake Debra, AM"
85,"Gonzalez, Watts and Thompson",E-commerce,Startup,"New Danielburgh, RU"
86,Graham Group,Tech,Large,"Lake Melissaville, PL"
87,Ward-Allen,Education,Large,"Jeffreyburgh, SC"
88,"Garrett, Hernandez and Anderson",Finance,Mid,"Whiteville, SE"
89,Long Inc,Finance,Startup,"Jacksonmouth, UZ"
90,Cummings-Nash,Finance,Startup,"Adamton, HR"
91,"Sawyer, Donovan and Vargas",Automotive,Mid,"Lake Erica, NL"
92,"Stewart, Gutierrez and Simpson",Tech,Large,"South Paige, VC"
93,Jones-Marshall,Finance,Startup,"Scottberg, MG"
94,Murphy-Rosales,Education,Large,"West Jesse, NG"
95,Solis-Thornton,Healthcare,Mid,"East Autumn, AM"
96,Michael Ltd,Healthcare,Startup,"Maldonadoville, PL"
97,Alexander and Sons,Education,Startup,"Richardside, PY"
98,"Travis, Fletcher and Rodriguez",Finance,Large,"Port Julieburgh, KW"
99,Lozano-Hill,Healthcare,Large,"South Stephanieville, BS"
100,"Farmer, Leach and Norris",Retail,Mid,"Williamsbury, DO"
101,Price-Nichols,Healthcare,Startup,"South Fredview, PL"
102,"Gonzalez, Jackson and Williams",Retail,Large,"Heatherport, DO"
103,"Dodson, Palmer and Huber",Education,Mid,"Alejandromouth, CU"
104,Morris-Sanchez,Finance,Mid,"New James, CR"
105,Cobb-Lindsey,E-commerce,Mid,"West Madison, QA"
106,Ramirez-Goodwin,Automotive,Mid,"Tanyachester, TW"
107,Duran PLC,Healthcare,Mid,"New David, EG"
108,Kaiser Group,Tech,Large,"South Patricktown, NO"
109,Garcia PLC,Education,Large,"Sanfordmouth, GW"
110,Steele-Norman,Healthcare,Mid,"Elainefurt, BS"
111,Garcia Ltd,Education,Large,"Brownstad, LU"
112,Hill LLC,Healthcare,Large,"Lake Christopher, QA"
113,"Morales, Thomas and Miller",Healthcare,Mid,"Millermouth, GY"
114,Kelly-Novak,Finance,Mid,"Nicoleside, AD"
115,Martin-Hernandez,Tech,Startup,"North Patrick, KE"
116,Price-Dean,Education,Large,"Dennistown, IQ"
117,Ruiz Inc,Automotive,Large,"Rodriguezfurt, LI"
118,"Hudson, Burton and Campbell",E-commerce,Startup,"Sullivanburgh, BJ"
119,Roberson Inc,Automotive,Mid,"New Justin, ZW"
120,Gutierrez PLC,Retail,Mid,"West Fredside, PW"
121,"King, Chambers and Brown",Retail,Mid,"Eriktown, GT"
122,Shannon LLC,Finance,Large,"Port Robert, TR"
123,Thompson-Norris,Finance,Startup,"Davidfort, CU"
124,Davis and Sons,E-commerce,Large,"Carrollland, SE"
125,"Reed, Garcia and French",E-commerce,Startup,"West Richardborough, BE"
126,Anderson-Cruz,Tech,Large,"Jasonshire, TH"
127,King PLC,Finance,Large,"East Sheriton, SV"
128,Baker-Gomez,Finance,Large,"Sarahview, SE"
129,"Patterson, Bruce and Herring",Retail,Mid,"Davechester, LR"
130,Jackson Inc,Education,Startup,"Allenton, UG"
131,"Thompson, Lewis and Gonzalez",E-commerce,Large,"Westland, KM"
132,Mclean Inc,Healthcare,Large,"Shermanshire, MM"
133,Moore Inc,Automotive,Mid,"Jamesborough, GB"
134,Flores-Dalton,Automotive,Mid,"East Edward, MV"
135,Nguyen and Sons,Healthcare,Mid,"Youngborough, CF"
136,Russell Inc,Finance,Mid,"Morrowview, RS"
137,Castillo and Sons,Education,Mid,"North Sheilamouth, JP"
138,Price PLC,Finance,Startup,"Randallside, CZ"
139,"Payne, Vasquez and Arnold",Healthcare,Large,"Danielfurt, GW"
140,Roth LLC,Retail,Startup,"Royville, BG"
141,Bryant and Sons,Automotive,Large,"Port Allisonfurt, SN"
142,"Morris, Williams and Campbell",Healthcare,Startup,"South Heatherside, KZ"
143,Perez Ltd,Healthcare,Large,"West Susan, NG"
144,Smith-Hernandez,Education,Startup,"Shelbyberg, AO"
145,"Barber, Green and Fernandez",Retail,Mid,"Ryanberg, MD"
146,"Baker, Nichols and Chen",Education,Large,"West Carloston, CO"
147,Crawford-Cooper,E-commerce,Mid,"Calderonfurt, KN"
148,"Manning, Hernandez and Serrano",Retail,Large,"New Crystalport, BF"
149,Sanchez and Sons,E-commerce,Startup,"North Melissa, NL"
150,Gomez-Mosley,Automotive,Mid,"East James, CR"
151,"Knox, Kirby and Rogers",Education,Startup,"Cynthiamouth, SC"
152,Johnson-Hansen,E-commerce,Mid,"New Christopher, KG"
153,Allen-Carr,Finance,Mid,"West Jamesborough, BT"
154,Carroll-Peterson,Education,Startup,"Lake Amanda, PG"
155,Castillo and Sons,Healthcare,Mid,"New Monicaborough, KH"
156,Dixon-Fields,Automotive,Startup,"New Christinastad, GY"
157,Ashley-Espinoza,Education,Startup,"Elizabethchester, KZ"
158,"Scott, Nelson and Cooke",Education,Mid,"Hayesberg, AG"
159,Wright-Pennington,Finance,Large,"Bentonland, BG"
160,Garcia-Martinez,Education,Large,"Michaeltown, UY"
161,Ryan-Ward,Education,Mid,"Hernandezfurt, MX"
162,"Ross, Torres and Griffith",Healthcare,Large,"Jessicamouth, PS"
163,"Contreras, Taylor and Nelson",Education,Startup,"North Danielfort, LC"
164,French Inc,Finance,Mid,"East Ritaburgh, AM"
165,"Roth, Le and Hamilton",Healthcare,Large,"Lake Eriktown, TZ"
